date,beer,Quarter
1992-07-01,420,1992 Q3
1992-10-01,532,1992 Q4
1993-01-01,433,1993 Q1
1993-04-01,421,1993 Q2
1993-07-01,410,1993 Q3
1993-10-01,512,1993 Q4
1994-01-01,449,1994 Q1
1994-04-01,381,1994 Q2
1994-07-01,423,1994 Q3
1994-10-01,531,1994 Q4
1995-01-01,426,1995 Q1
1995-04-01,408,1995 Q2
1995-07-01,416,1995 Q3
1995-10-01,520,1995 Q4
1996-01-01,409,1996 Q1
1996-04-01,398,1996 Q2
1996-07-01,398,1996 Q3
1996-10-01,507,1996 Q4
1997-01-01,432,1997 Q1
1997-04-01,398,1997 Q2
1997-07-01,406,1997 Q3
1997-10-01,526,1997 Q4
1998-01-01,428,1998 Q1
1998-04-01,397,1998 Q2
1998-07-01,403,1998 Q3
1998-10-01,517,1998 Q4
1999-01-01,435,1999 Q1
1999-04-01,383,1999 Q2
1999-07-01,424,1999 Q3
1999-10-01,521,1999 Q4
2000-01-01,421,2000 Q1
2000-04-01,402,2000 Q2
2000-07-01,414,2000 Q3
2000-10-01,500,2000 Q4
2001-01-01,451,2001 Q1
2001-04-01,380,2001 Q2
2001-07-01,416,2001 Q3
2001-10-01,492,2001 Q4
2002-01-01,428,2002 Q1
2002-04-01,408,2002 Q2
2002-07-01,406,2002 Q3
2002-10-01,506,2002 Q4
2003-01-01,435,2003 Q1
2003-04-01,380,2003 Q2
2003-07-01,421,2003 Q3
2003-10-01,490,2003 Q4
2004-01-01,435,2004 Q1
2004-04-01,390,2004 Q2
2004-07-01,412,2004 Q3
2004-10-01,454,2004 Q4
2005-01-01,416,2005 Q1
2005-04-01,403,2005 Q2
2005-07-01,408,2005 Q3
2005-10-01,482,2005 Q4
2006-01-01,438,2006 Q1
2006-04-01,386,2006 Q2
2006-07-01,405,2006 Q3
2006-10-01,491,2006 Q4
2007-01-01,427,2007 Q1
2007-04-01,383,2007 Q2
2007-07-01,394,2007 Q3
2007-10-01,473,2007 Q4
2008-01-01,420,2008 Q1
2008-04-01,390,2008 Q2
2008-07-01,410,2008 Q3
2008-10-01,488,2008 Q4
2009-01-01,415,2009 Q1
2009-04-01,398,2009 Q2
2009-07-01,419,2009 Q3
2009-10-01,488,2009 Q4
2010-01-01,414,2010 Q1
2010-04-01,374,2010 Q2
