country,year,women_murdered
Antigua and Barbuda,1962,NA
Antigua and Barbuda,1963,NA
Antigua and Barbuda,1964,NA
Antigua and Barbuda,1965,NA
Antigua and Barbuda,1966,NA
Antigua and Barbuda,1967,NA
Antigua and Barbuda,1968,NA
Antigua and Barbuda,1969,NA
Antigua and Barbuda,1970,NA
Antigua and Barbuda,1971,NA
Antigua and Barbuda,1972,NA
Antigua and Barbuda,1973,NA
Antigua and Barbuda,1974,NA
Antigua and Barbuda,1975,NA
Antigua and Barbuda,1976,NA
Antigua and Barbuda,1977,NA
Antigua and Barbuda,1978,NA
Antigua and Barbuda,1979,NA
Antigua and Barbuda,1980,NA
Antigua and Barbuda,1981,NA
Antigua and Barbuda,1982,NA
Antigua and Barbuda,1983,NA
Antigua and Barbuda,1984,NA
Antigua and Barbuda,1985,NA
Antigua and Barbuda,1986,NA
Antigua and Barbuda,1987,NA
Antigua and Barbuda,1988,NA
Antigua and Barbuda,1989,NA
Antigua and Barbuda,1990,NA
Antigua and Barbuda,1991,NA
Antigua and Barbuda,1992,NA
Antigua and Barbuda,1993,NA
Antigua and Barbuda,1994,NA
Antigua and Barbuda,1995,NA
Antigua and Barbuda,1996,NA
Antigua and Barbuda,1997,NA
Antigua and Barbuda,1998,NA
Antigua and Barbuda,1999,NA
Antigua and Barbuda,2000,NA
Antigua and Barbuda,2001,NA
Antigua and Barbuda,2002,NA
Antigua and Barbuda,2003,NA
Antigua and Barbuda,2004,NA
Antigua and Barbuda,2005,NA
Antigua and Barbuda,2006,NA
Antigua and Barbuda,2007,NA
Antigua and Barbuda,2008,NA
Antigua and Barbuda,2009,NA
Antigua and Barbuda,2010,NA
Antigua and Barbuda,2011,NA
Antigua and Barbuda,2012,NA
Antigua and Barbuda,2013,NA
Antigua and Barbuda,2014,NA
Antigua and Barbuda,2015,NA
Australia,1949,0.775
Australia,1950,1.06
Australia,1951,0.977
Australia,1952,1.03
Australia,1953,0.958
Australia,1954,1.07
Australia,1955,0.858
Australia,1956,1.07
Australia,1957,1.3
Australia,1958,1.16
Australia,1959,1.06
Australia,1960,1.2
Australia,1961,1.12
Australia,1962,1.24
Australia,1963,1.26
Australia,1964,1.42
Australia,1965,1.15
Australia,1966,1.13
Australia,1967,1.53
Australia,1968,0.977
Australia,1969,1.4
Australia,1970,1.27
Australia,1971,1.07
Australia,1972,1.57
Australia,1973,1.32
Australia,1974,1.22
Australia,1975,1.63
Australia,1976,1.49
Australia,1977,1.66
Australia,1978,1.25
Australia,1979,1.58
Australia,1980,1.28
Australia,1981,1.53
Australia,1982,1.34
Australia,1983,1.53
Australia,1984,1.44
Australia,1985,1.54
Australia,1986,1.68
Australia,1987,1.61
Australia,1988,1.31
Australia,1989,1.58
Australia,1990,1.63
Australia,1991,1.33
Australia,1992,1.32
Australia,1993,1.28
Australia,1994,1.25
Australia,1995,1.12
Australia,1996,1.12
Australia,1997,0.992
Australia,1998,0.983
Australia,1999,1.22
Australia,2000,1.07
Australia,2001,0.966
Australia,2002,0.781
Australia,2003,0.537
Australia,2004,NA
Australia,2005,0.835
Australia,2006,0.693
Australia,2007,0.8
Australia,2008,0.704
Australia,2009,0.714
Australia,2010,0.792
Australia,2011,0.736
Australia,2012,0.737
Australia,2013,0.735
Australia,2014,0.762
Australia,2015,NA
Austria,1949,NA
Austria,1950,NA
Austria,1951,NA
Austria,1952,NA
Austria,1953,NA
Austria,1954,0.928
Austria,1955,1.4
Austria,1956,0.899
Austria,1957,0.694
Austria,1958,0.943
Austria,1959,0.802
Austria,1960,0.806
Austria,1961,0.872
Austria,1962,0.627
Austria,1963,0.876
Austria,1964,0.919
Austria,1965,1.13
Austria,1966,1.01
Austria,1967,0.73
Austria,1968,0.832
Austria,1969,1.2
Austria,1970,1.03
Austria,1971,1.03
Austria,1972,1.21
Austria,1973,1.32
Austria,1974,1.25
Austria,1975,1.19
Austria,1976,1.15
Austria,1977,1.41
Austria,1978,1.24
Austria,1979,0.956
Austria,1980,1.31
Austria,1981,1.28
Austria,1982,1.51
Austria,1983,1.46
Austria,1984,1.32
Austria,1985,1.56
Austria,1986,1.22
Austria,1987,0.97
Austria,1988,0.972
Austria,1989,1.37
Austria,1990,0.98
Austria,1991,1.15
Austria,1992,1.1
Austria,1993,1.33
Austria,1994,0.914
Austria,1995,1.01
Austria,1996,1.01
Austria,1997,0.871
Austria,1998,0.835
Austria,1999,1.05
Austria,2000,1.14
Austria,2001,0.985
Austria,2002,0.505
Austria,2003,0.723
Austria,2004,0.565
Austria,2005,0.875
Austria,2006,0.585
Austria,2007,0.487
Austria,2008,0.686
Austria,2009,0.422
Austria,2010,0.387
Austria,2011,0.324
Austria,2012,0.411
Austria,2013,0.384
Austria,2014,0.579
Austria,2015,0.452
Azerbaijan,1949,NA
Azerbaijan,1950,NA
Azerbaijan,1951,NA
Azerbaijan,1952,NA
Azerbaijan,1953,NA
Azerbaijan,1954,NA
Azerbaijan,1955,NA
Azerbaijan,1956,NA
Azerbaijan,1957,NA
Azerbaijan,1958,NA
Azerbaijan,1959,NA
Azerbaijan,1960,NA
Azerbaijan,1961,NA
Azerbaijan,1962,NA
Azerbaijan,1963,NA
Azerbaijan,1964,NA
Azerbaijan,1965,NA
Azerbaijan,1966,NA
Azerbaijan,1967,NA
Azerbaijan,1968,NA
Azerbaijan,1969,NA
Azerbaijan,1970,NA
Azerbaijan,1971,NA
Azerbaijan,1972,NA
Azerbaijan,1973,NA
Azerbaijan,1974,NA
Azerbaijan,1975,NA
Azerbaijan,1976,NA
Azerbaijan,1977,NA
Azerbaijan,1978,NA
Azerbaijan,1979,NA
Azerbaijan,1980,2.45
Azerbaijan,1981,1.79
Azerbaijan,1982,NA
Azerbaijan,1983,NA
Azerbaijan,1984,1.52
Azerbaijan,1985,2.03
Azerbaijan,1986,1.95
Azerbaijan,1987,2.63
Azerbaijan,1988,1
Azerbaijan,1989,2.44
Azerbaijan,1990,1.4
Azerbaijan,1991,7.15
Azerbaijan,1992,5.31
Azerbaijan,1993,5.46
Azerbaijan,1994,2.03
Azerbaijan,1995,2.09
Azerbaijan,1996,1.89
Azerbaijan,1997,2.08
Azerbaijan,1998,1.42
Azerbaijan,1999,1.5
Azerbaijan,2000,NA
Azerbaijan,2001,NA
Azerbaijan,2002,NA
Azerbaijan,2003,NA
Azerbaijan,2004,NA
Azerbaijan,2005,NA
Azerbaijan,2006,0.114
Azerbaijan,2007,NA
Azerbaijan,2008,NA
Azerbaijan,2009,NA
Azerbaijan,2010,NA
Azerbaijan,2011,NA
Azerbaijan,2012,NA
Azerbaijan,2013,NA
Azerbaijan,2014,NA
Azerbaijan,2015,NA
Belgium,1949,NA
Belgium,1950,NA
Belgium,1951,NA
Belgium,1952,NA
Belgium,1953,0.682
Belgium,1954,0.717
Belgium,1955,0.638
Belgium,1956,0.535
Belgium,1957,0.575
Belgium,1958,0.645
Belgium,1959,0.526
Belgium,1960,0.57
Belgium,1961,0.583
Belgium,1962,0.59
Belgium,1963,0.721
Belgium,1964,0.856
Belgium,1965,0.616
Belgium,1966,0.944
Belgium,1967,0.808
Belgium,1968,0.801
Belgium,1969,0.922
Belgium,1970,0.912
Belgium,1971,0.951
Belgium,1972,0.902
Belgium,1973,0.9
Belgium,1974,0.506
Belgium,1975,0.906
Belgium,1976,0.712
Belgium,1977,0.859
Belgium,1978,1.46
Belgium,1979,1.23
Belgium,1980,1.02
Belgium,1981,1.14
Belgium,1982,1.29
Belgium,1983,1.51
Belgium,1984,1.73
Belgium,1985,1.93
Belgium,1986,1.3
Belgium,1987,1.35
Belgium,1988,1.27
Belgium,1989,1.03
Belgium,1990,0.788
Belgium,1991,1.06
Belgium,1992,1.54
Belgium,1993,1.37
Belgium,1994,1.23
Belgium,1995,1.86
Belgium,1996,1.53
Belgium,1997,1.68
Belgium,1998,1.67
Belgium,1999,1.27
Belgium,2000,1.25
Belgium,2001,1.4
Belgium,2002,1.08
Belgium,2003,1.51
Belgium,2004,1.26
Belgium,2005,1.06
Belgium,2006,1.1
Belgium,2007,0.688
Belgium,2008,0.798
Belgium,2009,0.619
Belgium,2010,0.976
Belgium,2011,0.788
Belgium,2012,0.869
Belgium,2013,0.677
Belgium,2014,0.846
Belgium,2015,NA
Bulgaria,1949,NA
Bulgaria,1950,NA
Bulgaria,1951,NA
Bulgaria,1952,NA
Bulgaria,1953,NA
Bulgaria,1954,NA
Bulgaria,1955,NA
Bulgaria,1956,NA
Bulgaria,1957,NA
Bulgaria,1958,NA
Bulgaria,1959,NA
Bulgaria,1960,NA
Bulgaria,1961,NA
Bulgaria,1962,NA
Bulgaria,1963,1.24
Bulgaria,1964,1.08
Bulgaria,1965,1.12
Bulgaria,1966,0.897
Bulgaria,1967,0.876
Bulgaria,1968,1.45
Bulgaria,1969,1.02
Bulgaria,1970,1.29
Bulgaria,1971,1.02
Bulgaria,1972,1.31
Bulgaria,1973,0.942
Bulgaria,1974,1.01
Bulgaria,1975,1.17
Bulgaria,1976,1.11
Bulgaria,1977,1.42
Bulgaria,1978,1.16
Bulgaria,1979,1.21
Bulgaria,1980,1.31
Bulgaria,1981,2.08
Bulgaria,1982,1.45
Bulgaria,1983,1.51
Bulgaria,1984,1.66
Bulgaria,1985,1.61
Bulgaria,1986,1.12
Bulgaria,1987,1.48
Bulgaria,1988,1.28
Bulgaria,1989,1.44
Bulgaria,1990,1.67
Bulgaria,1991,1.77
Bulgaria,1992,1.65
Bulgaria,1993,1.83
Bulgaria,1994,1.37
Bulgaria,1995,1.68
Bulgaria,1996,1.87
Bulgaria,1997,1.77
Bulgaria,1998,1.29
Bulgaria,1999,1.72
Bulgaria,2000,1.11
Bulgaria,2001,1.15
Bulgaria,2002,0.914
Bulgaria,2003,1.06
Bulgaria,2004,0.835
Bulgaria,2005,0.773
Bulgaria,2006,0.61
Bulgaria,2007,0.826
Bulgaria,2008,0.869
Bulgaria,2009,0.638
Bulgaria,2010,0.703
Bulgaria,2011,0.398
Bulgaria,2012,0.676
Bulgaria,2013,0.666
Bulgaria,2014,NA
Bulgaria,2015,NA
Bahamas,1949,NA
Bahamas,1950,NA
Bahamas,1951,NA
Bahamas,1952,NA
Bahamas,1953,NA
Bahamas,1954,NA
Bahamas,1955,NA
Bahamas,1956,NA
Bahamas,1957,NA
Bahamas,1958,NA
Bahamas,1959,NA
Bahamas,1960,NA
Bahamas,1961,NA
Bahamas,1962,NA
Bahamas,1963,NA
Bahamas,1964,NA
Bahamas,1965,NA
Bahamas,1966,NA
Bahamas,1967,NA
Bahamas,1968,NA
Bahamas,1969,NA
Bahamas,1970,1.31
Bahamas,1971,NA
Bahamas,1972,NA
Bahamas,1973,NA
Bahamas,1974,11.8
Bahamas,1975,NA
Bahamas,1976,NA
Bahamas,1977,NA
Bahamas,1978,11
Bahamas,1979,5.31
Bahamas,1980,2.3
Bahamas,1981,NA
Bahamas,1982,2.79
Bahamas,1983,6.84
Bahamas,1984,0.737
Bahamas,1985,NA
Bahamas,1986,3.39
Bahamas,1987,NA
Bahamas,1988,NA
Bahamas,1989,NA
Bahamas,1990,NA
Bahamas,1991,NA
Bahamas,1992,4.06
Bahamas,1993,4.35
Bahamas,1994,4.98
Bahamas,1995,NA
Bahamas,1996,NA
Bahamas,1997,NA
Bahamas,1998,NA
Bahamas,1999,NA
Bahamas,2000,NA
Bahamas,2001,NA
Bahamas,2002,NA
Bahamas,2003,NA
Bahamas,2004,NA
Bahamas,2005,NA
Bahamas,2006,NA
Bahamas,2007,NA
Bahamas,2008,NA
Bahamas,2009,NA
Bahamas,2010,NA
Bahamas,2011,NA
Bahamas,2012,NA
Bahamas,2013,NA
Bahamas,2014,NA
Bahamas,2015,NA
Bosnia and Herzegovina,1949,NA
Bosnia and Herzegovina,1950,NA
Bosnia and Herzegovina,1951,NA
Bosnia and Herzegovina,1952,NA
Bosnia and Herzegovina,1953,NA
Bosnia and Herzegovina,1954,NA
Bosnia and Herzegovina,1955,NA
Bosnia and Herzegovina,1956,NA
Bosnia and Herzegovina,1957,NA
Bosnia and Herzegovina,1958,NA
Bosnia and Herzegovina,1959,NA
Bosnia and Herzegovina,1960,NA
Bosnia and Herzegovina,1961,NA
Bosnia and Herzegovina,1962,NA
Bosnia and Herzegovina,1963,NA
Bosnia and Herzegovina,1964,NA
Bosnia and Herzegovina,1965,NA
Bosnia and Herzegovina,1966,NA
Bosnia and Herzegovina,1967,NA
Bosnia and Herzegovina,1968,NA
Bosnia and Herzegovina,1969,NA
Bosnia and Herzegovina,1970,NA
Bosnia and Herzegovina,1971,NA
Bosnia and Herzegovina,1972,NA
Bosnia and Herzegovina,1973,NA
Bosnia and Herzegovina,1974,NA
Bosnia and Herzegovina,1975,NA
Bosnia and Herzegovina,1976,NA
Bosnia and Herzegovina,1977,NA
Bosnia and Herzegovina,1978,NA
Bosnia and Herzegovina,1979,NA
Bosnia and Herzegovina,1980,NA
Bosnia and Herzegovina,1981,NA
Bosnia and Herzegovina,1982,NA
Bosnia and Herzegovina,1983,NA
Bosnia and Herzegovina,1984,0.0885
Bosnia and Herzegovina,1985,0.179
Bosnia and Herzegovina,1986,0.275
Bosnia and Herzegovina,1987,0.0794
Bosnia and Herzegovina,1988,NA
Bosnia and Herzegovina,1989,NA
Bosnia and Herzegovina,1990,0.038
Bosnia and Herzegovina,1991,NA
Bosnia and Herzegovina,1992,NA
Bosnia and Herzegovina,1993,NA
Bosnia and Herzegovina,1994,NA
Bosnia and Herzegovina,1995,NA
Bosnia and Herzegovina,1996,NA
Bosnia and Herzegovina,1997,NA
Bosnia and Herzegovina,1998,NA
Bosnia and Herzegovina,1999,NA
Bosnia and Herzegovina,2000,NA
Bosnia and Herzegovina,2001,NA
Bosnia and Herzegovina,2002,NA
Bosnia and Herzegovina,2003,NA
Bosnia and Herzegovina,2004,NA
Bosnia and Herzegovina,2005,NA
Bosnia and Herzegovina,2006,NA
Bosnia and Herzegovina,2007,NA
Bosnia and Herzegovina,2008,NA
Bosnia and Herzegovina,2009,NA
Bosnia and Herzegovina,2010,NA
Bosnia and Herzegovina,2011,NA
Bosnia and Herzegovina,2012,NA
Bosnia and Herzegovina,2013,0.451
Bosnia and Herzegovina,2014,NA
Bosnia and Herzegovina,2015,NA
Belarus,1949,NA
Belarus,1950,NA
Belarus,1951,NA
Belarus,1952,NA
Belarus,1953,NA
Belarus,1954,NA
Belarus,1955,NA
Belarus,1956,NA
Belarus,1957,NA
Belarus,1958,NA
Belarus,1959,NA
Belarus,1960,NA
Belarus,1961,NA
Belarus,1962,NA
Belarus,1963,NA
Belarus,1964,NA
Belarus,1965,NA
Belarus,1966,NA
Belarus,1967,NA
Belarus,1968,NA
Belarus,1969,NA
Belarus,1970,NA
Belarus,1971,NA
Belarus,1972,NA
Belarus,1973,NA
Belarus,1974,NA
Belarus,1975,NA
Belarus,1976,NA
Belarus,1977,NA
Belarus,1978,NA
Belarus,1979,NA
Belarus,1980,3.19
Belarus,1981,3.76
Belarus,1982,NA
Belarus,1983,NA
Belarus,1984,3.22
Belarus,1985,2.45
Belarus,1986,2.98
Belarus,1987,3.46
Belarus,1988,3.95
Belarus,1989,4.06
Belarus,1990,3.53
Belarus,1991,4.52
Belarus,1992,5.26
Belarus,1993,5.29
Belarus,1994,6.73
Belarus,1995,NA
Belarus,1996,6.52
Belarus,1997,6.28
Belarus,1998,5.65
Belarus,1999,6.45
Belarus,2000,6.3
Belarus,2001,NA
Belarus,2002,NA
Belarus,2003,NA
Belarus,2004,NA
Belarus,2005,NA
Belarus,2006,NA
Belarus,2007,NA
Belarus,2008,NA
Belarus,2009,NA
Belarus,2010,NA
Belarus,2011,NA
Belarus,2012,NA
Belarus,2013,NA
Belarus,2014,NA
Belarus,2015,NA
Belize,1949,NA
Belize,1950,NA
Belize,1951,NA
Belize,1952,NA
Belize,1953,NA
Belize,1954,NA
Belize,1955,NA
Belize,1956,NA
Belize,1957,NA
Belize,1958,NA
Belize,1959,NA
Belize,1960,NA
Belize,1961,NA
Belize,1962,NA
Belize,1963,NA
Belize,1964,NA
Belize,1965,NA
Belize,1966,NA
Belize,1967,NA
Belize,1968,NA
Belize,1969,NA
Belize,1970,2.17
Belize,1971,NA
Belize,1972,NA
Belize,1973,2.48
Belize,1974,NA
Belize,1975,NA
Belize,1976,NA
Belize,1977,NA
Belize,1978,NA
Belize,1979,NA
Belize,1980,NA
Belize,1981,NA
Belize,1982,NA
Belize,1983,NA
Belize,1984,NA
Belize,1985,NA
Belize,1986,NA
Belize,1987,NA
Belize,1988,NA
Belize,1989,NA
Belize,1990,1.91
Belize,1991,NA
Belize,1992,NA
Belize,1993,NA
Belize,1994,NA
Belize,1995,NA
Belize,1996,NA
Belize,1997,NA
Belize,1998,NA
Belize,1999,NA
Belize,2000,NA
Belize,2001,NA
Belize,2002,NA
Belize,2003,NA
Belize,2004,NA
Belize,2005,NA
Belize,2006,NA
Belize,2007,NA
Belize,2008,NA
Belize,2009,NA
Belize,2010,NA
Belize,2011,NA
Belize,2012,NA
Belize,2013,NA
Belize,2014,NA
Belize,2015,NA
Bermuda,1949,NA
Bermuda,1950,NA
Bermuda,1951,NA
Bermuda,1952,NA
Bermuda,1953,NA
Bermuda,1954,NA
Bermuda,1955,NA
Bermuda,1956,NA
Bermuda,1957,NA
Bermuda,1958,NA
Bermuda,1959,NA
Bermuda,1960,NA
Bermuda,1961,NA
Bermuda,1962,NA
Bermuda,1963,NA
Bermuda,1964,NA
Bermuda,1965,NA
Bermuda,1966,3.68
Bermuda,1967,4.66
Bermuda,1968,NA
Bermuda,1969,NA
Bermuda,1970,NA
Bermuda,1971,7.86
Bermuda,1972,NA
Bermuda,1973,NA
Bermuda,1974,7.36
Bermuda,1975,NA
Bermuda,1976,NA
Bermuda,1977,3.31
Bermuda,1978,NA
Bermuda,1979,4.4
Bermuda,1980,NA
Bermuda,1981,NA
Bermuda,1982,NA
Bermuda,1983,NA
Bermuda,1984,NA
Bermuda,1985,NA
Bermuda,1986,NA
Bermuda,1987,NA
Bermuda,1988,NA
Bermuda,1989,NA
Bermuda,1990,NA
Bermuda,1991,NA
Bermuda,1992,NA
Bermuda,1993,NA
Bermuda,1994,NA
Bermuda,1995,NA
Bermuda,1996,NA
Bermuda,1997,NA
Bermuda,1998,NA
Bermuda,1999,NA
Bermuda,2000,NA
Bermuda,2001,NA
Bermuda,2002,NA
Bermuda,2003,NA
Bermuda,2004,NA
Bermuda,2005,NA
Bermuda,2006,NA
Bermuda,2007,NA
Bermuda,2008,NA
Bermuda,2009,NA
Bermuda,2010,NA
Bermuda,2011,NA
Bermuda,2012,NA
Bermuda,2013,NA
Bermuda,2014,NA
Bermuda,2015,NA
Brazil,1949,NA
Brazil,1950,NA
Brazil,1951,NA
Brazil,1952,NA
Brazil,1953,NA
Brazil,1954,NA
Brazil,1955,NA
Brazil,1956,NA
Brazil,1957,NA
Brazil,1958,NA
Brazil,1959,NA
Brazil,1960,NA
Brazil,1961,NA
Brazil,1962,NA
Brazil,1963,NA
Brazil,1964,NA
Brazil,1965,NA
Brazil,1966,NA
Brazil,1967,NA
Brazil,1968,NA
Brazil,1969,NA
Brazil,1970,NA
Brazil,1971,NA
Brazil,1972,NA
Brazil,1973,NA
Brazil,1974,NA
Brazil,1975,NA
Brazil,1976,NA
Brazil,1977,NA
Brazil,1978,2.17
Brazil,1979,2.38
Brazil,1980,2.59
Brazil,1981,2.6
Brazil,1982,2.8
Brazil,1983,2.73
Brazil,1984,2.7
Brazil,1985,2.71
Brazil,1986,NA
Brazil,1987,NA
Brazil,1988,NA
Brazil,1989,NA
Brazil,1990,NA
Brazil,1991,NA
Brazil,1992,NA
Brazil,1993,NA
Brazil,1994,NA
Brazil,1995,NA
Brazil,1996,NA
Brazil,1997,NA
Brazil,1998,NA
Brazil,1999,NA
Brazil,2000,NA
Brazil,2001,NA
Brazil,2002,NA
Brazil,2003,NA
Brazil,2004,NA
Brazil,2005,NA
Brazil,2006,NA
Brazil,2007,NA
Brazil,2008,NA
Brazil,2009,NA
Brazil,2010,NA
Brazil,2011,NA
Brazil,2012,NA
Brazil,2013,NA
Brazil,2014,NA
Brazil,2015,NA
Barbados,1949,NA
Barbados,1950,NA
Barbados,1951,NA
Barbados,1952,NA
Barbados,1953,NA
Barbados,1954,NA
Barbados,1955,NA
Barbados,1956,NA
Barbados,1957,NA
Barbados,1958,NA
Barbados,1959,1.8
Barbados,1960,1.88
Barbados,1961,0.874
Barbados,1962,NA
Barbados,1963,1.84
Barbados,1964,NA
Barbados,1965,1.58
Barbados,1966,4.46
Barbados,1967,2.2
Barbados,1968,NA
Barbados,1969,0.88
Barbados,1970,NA
Barbados,1971,1.21
Barbados,1972,3.63
Barbados,1973,1.67
Barbados,1974,2.94
Barbados,1975,1.81
Barbados,1976,2.26
Barbados,1977,2.57
Barbados,1978,1.94
Barbados,1979,3.49
Barbados,1980,2.86
Barbados,1981,5.29
Barbados,1982,1.93
Barbados,1983,2.23
Barbados,1984,4.48
Barbados,1985,0.76
Barbados,1986,2.83
Barbados,1987,5.56
Barbados,1988,6.45
Barbados,1989,7.12
Barbados,1990,6.05
Barbados,1991,2.84
Barbados,1992,3.23
Barbados,1993,4.46
Barbados,1994,3.41
Barbados,1995,NA
Barbados,1996,NA
Barbados,1997,NA
Barbados,1998,NA
Barbados,1999,NA
Barbados,2000,NA
Barbados,2001,NA
Barbados,2002,NA
Barbados,2003,NA
Barbados,2004,NA
Barbados,2005,NA
Barbados,2006,NA
Barbados,2007,NA
Barbados,2008,NA
Barbados,2009,NA
Barbados,2010,NA
Barbados,2011,NA
Barbados,2012,NA
Barbados,2013,NA
Barbados,2014,NA
Barbados,2015,NA
Brunei,1949,NA
Brunei,1950,NA
Brunei,1951,NA
Brunei,1952,NA
Brunei,1953,NA
Brunei,1954,NA
Brunei,1955,NA
Brunei,1956,NA
Brunei,1957,NA
Brunei,1958,NA
Brunei,1959,NA
Brunei,1960,NA
Brunei,1961,NA
Brunei,1962,NA
Brunei,1963,NA
Brunei,1964,NA
Brunei,1965,NA
Brunei,1966,NA
Brunei,1967,NA
Brunei,1968,NA
Brunei,1969,NA
Brunei,1970,NA
Brunei,1971,NA
Brunei,1972,NA
Brunei,1973,NA
Brunei,1974,NA
Brunei,1975,NA
Brunei,1976,NA
Brunei,1977,NA
Brunei,1978,NA
Brunei,1979,NA
Brunei,1980,NA
Brunei,1981,NA
Brunei,1982,NA
Brunei,1983,NA
Brunei,1984,NA
Brunei,1985,NA
Brunei,1986,NA
Brunei,1987,NA
Brunei,1988,NA
Brunei,1989,NA
Brunei,1990,NA
Brunei,1991,NA
Brunei,1992,NA
Brunei,1993,NA
Brunei,1994,NA
Brunei,1995,NA
Brunei,1996,NA
Brunei,1997,NA
Brunei,1998,NA
Brunei,1999,NA
Brunei,2000,NA
Brunei,2001,NA
Brunei,2002,NA
Brunei,2003,NA
Brunei,2004,NA
Brunei,2005,NA
